// Command line: MsdnHelper.exe
// Project page: https://github.com/yallie/MsdnHelper
System.ServiceModel.ChannelFactory`1,ms576132
System.ServiceModel.ClientBase`1,ms576141
System.ServiceModel.ClientBase`1.BeginOperationDelegate,bb764070
System.ServiceModel.ClientBase`1.ChannelBase`1,cc190431
System.ServiceModel.ClientBase`1.EndOperationDelegate,bb788355
System.ServiceModel.ClientBase`1.InvokeAsyncCompletedEventArgs,bb778235
System.ServiceModel.DuplexChannelFactory`1,ms576164
System.ServiceModel.DuplexClientBase`1,ms576169
System.ServiceModel.ExtensionCollection`1,ms576183
System.ServiceModel.FaultException`1,ms576199
System.ServiceModel.IExtensibleObject`1,ms586697
System.ServiceModel.IExtension`1,ms586703
System.ServiceModel.IExtensionCollection`1,ms586700
System.ServiceModel.MessageHeader`1,ms586745
System.ServiceModel.WebHttpSecurityMode,bb348328
System.ServiceModel.Activities.Tracking.Configuration.TrackingConfigurationCollection`1,dd556636
System.ServiceModel.Channels.ChannelFactoryBase`1,ms405827
System.ServiceModel.Channels.ChannelListenerBase`1,ms405838
System.ServiceModel.Channels.ContextExchangeMechanism,bb348913
System.ServiceModel.Channels.IChannelFactory`1,ms405876
System.ServiceModel.Channels.IChannelListener`1,ms405883
System.ServiceModel.Channels.ISessionChannel`1,ms596746
System.ServiceModel.Configuration.ConfigurationChannelFactory`1,dd575311
System.ServiceModel.Configuration.ConfigurationDuplexChannelFactory`1,dd575385
System.ServiceModel.Configuration.MexBindingBindingCollectionElement`2,aa346061
System.ServiceModel.Configuration.MexBindingElement`1,aa346065
System.ServiceModel.Configuration.NamedServiceModelExtensionCollectionElement`1,aa346138
System.ServiceModel.Configuration.ServiceModelConfigurationElementCollection`1,ms598368
System.ServiceModel.Configuration.ServiceModelEnhancedConfigurationElementCollection`1,aa346252
System.ServiceModel.Configuration.ServiceModelExtensionCollectionElement`1,aa346257
System.ServiceModel.Configuration.StandardBindingCollectionElement`2,aa346281
System.ServiceModel.Configuration.StandardBindingElementCollection`1,aa346287
System.ServiceModel.Configuration.StandardEndpointCollectionElement`2,dd288649
System.ServiceModel.Configuration.StandardEndpointElementCollection`1,dd235341
System.ServiceModel.Dispatcher.IMessageFilterTable`1,ms599840
System.ServiceModel.Dispatcher.MessageFilterTable`1,ms599871
System.ServiceModel.Dispatcher.MessageQueryTable`1,dd289033
System.ServiceModel.Dispatcher.XPathMessageFilterTable`1,ms600363
System.ServiceModel.MsmqIntegration.MsmqMessage`1,ms600458
System.ServiceModel.Syndication.Atom10FeedFormatter`1,bb536513
System.ServiceModel.Syndication.Atom10ItemFormatter`1,bb536157
System.ServiceModel.Syndication.AtomPub10ServiceDocumentFormatter`1,cc472604
System.ServiceModel.Syndication.Rss20FeedFormatter`1,bb536530
System.ServiceModel.Syndication.Rss20ItemFormatter`1,bb516053
System.ServiceModel.Syndication.TextSyndicationContentKind,bb341327
System.ServiceModel.Web.WebChannelFactory`1,bb908674
System.ServiceModel.Web.WebFaultException`1,dd989924
System.ServiceProcess.ServiceType,tfdtdw0e
System.Threading.LockRecursionPolicy,bb302197
System.Threading.ThreadLocal`1,dd642243
System.Threading.Tasks.Task`1,dd321424
System.Threading.Tasks.TaskCompletionSource`1,dd449174
System.Threading.Tasks.TaskFactory`1,dd321260
System.Threading.Tasks.Dataflow.ActionBlock`1,hh194684
System.Threading.Tasks.Dataflow.BatchBlock`1,hh194745
System.Threading.Tasks.Dataflow.BatchedJoinBlock`2,hh194683
System.Threading.Tasks.Dataflow.BatchedJoinBlock`3,hh160326
System.Threading.Tasks.Dataflow.BroadcastBlock`1,hh160447
System.Threading.Tasks.Dataflow.BufferBlock`1,hh160414
System.Threading.Tasks.Dataflow.IPropagatorBlock`2,hh194827
System.Threading.Tasks.Dataflow.IReceivableSourceBlock`1,hh194860
System.Threading.Tasks.Dataflow.ISourceBlock`1,hh160369
System.Threading.Tasks.Dataflow.ITargetBlock`1,hh194833
System.Threading.Tasks.Dataflow.JoinBlock`2,hh194869
System.Threading.Tasks.Dataflow.JoinBlock`3,hh160286
System.Threading.Tasks.Dataflow.TransformBlock`2,hh194782
System.Threading.Tasks.Dataflow.TransformManyBlock`2,hh194784
System.Threading.Tasks.Dataflow.WriteOnceBlock`1,hh194820
System.Web.HttpCacheRevalidation,w3shzhd9
System.Web.Configuration.CustomErrorsMode,kd7aze68
System.Web.Configuration.FormsProtectionEnum,9hd6wxdt
System.Web.Configuration.PagesEnableSessionState,16kf4xz0
System.Web.Configuration.ProcessModelLogLevel,12yh3b10
System.Web.Configuration.TraceDisplayMode,c5b2ht05
System.Web.Configuration.WebApplicationLevel,ms151419
System.Web.Management.WebServiceErrorEvent,bb355986
System.Web.ModelBinding.ArrayModelBinder`1,hh195380
System.Web.ModelBinding.CollectionModelBinder`1,hh139434
System.Web.ModelBinding.DataAnnotationsModelValidator`1,hh195396
System.Web.ModelBinding.DictionaryModelBinder`2,hh195220
System.Web.ModelBinding.DictionaryValueProvider`1,hh160631
System.Web.ModelBinding.KeyValuePairModelBinder`2,hh160676
System.Web.Profile.ProfileAuthenticationOption,7427y1ec
System.Web.Services.WsiProfiles,ms152180
System.Web.Services.Configuration.WebServiceProtocols,ms152313
System.Web.UI.DataSourceCapabilities,4yx79hxs
System.Web.UI.ScriptMode,bb344940
System.Web.UI.UpdatePanelUpdateMode,bb155262
System.Web.UI.VerificationRule,9y965bsk
System.Web.UI.DataVisualization.Charting.ChartElementCollection`1,dd487987
System.Web.UI.DataVisualization.Charting.ChartNamedElementCollection`1,dd467407
System.Web.UI.WebControls.DataControlCellType,yc8taz9h
System.Web.UI.WebControls.ListViewCancelMode,bb468853
System.Web.UI.WebControls.ListViewItemType,bb299031
System.Web.UI.WebControls.PathDirection,21habac3
System.Web.UI.WebControls.SqlDataSourceCommandType,ms156435
System.Web.UI.WebControls.TreeNodeSelectAction,fxw0h1h7
System.Web.UI.WebControls.TreeNodeTypes,55zeh58s
System.Web.UI.WebControls.ValidationDataType,85y3x2a2
System.Windows.FreezableCollection`1,aa346595
System.Windows.FreezableCollection`1.Enumerator,aa346596
System.Windows.RoutedPropertyChangedEventArgs`1,ms589763
